dataset,task,model,n_samples,n_features,training_time,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_roc_auc_mean,cv_roc_auc_std,tuned,optuna_metric,best_params
Adult Income,classification,adaboost,48842,14,4.445667792111635,0.8574060804585935,0.7567672774872425,0.8489311505219239,0.9113258574263896,0.8573564218794028,0.0024124714305017343,0.7586495262962745,0.005675155570325868,0.8492960811173165,0.0030540433675206517,0.9119254190374815,0.002960816471662574,True,0.8573564218794028,"{""n_estimators"": 393, ""learning_rate"": 0.4756192573653293}"
Heart Disease,classification,adaboost,303,13,0.13003283296711743,0.8032786885245902,0.7884199134199135,0.7948381288216978,0.908008658008658,0.848032786885246,0.035839830018409034,0.8413059163059163,0.03809469149986112,0.8461425706483847,0.03658039741925802,0.9152036235369568,0.026182415333225156,True,0.848032786885246,"{""n_estimators"": 253, ""learning_rate"": 0.02352049414281421}"
Mushroom,classification,adaboost,8124,22,1.2129407080356032,0.9981538461538462,0.9980842911877394,0.9981537159251258,1.0,0.9500151572565365,0.05929094179477017,0.9499233806351184,0.05926537001067789,0.9493340320903136,0.06011037481485579,0.9983880320753501,0.0021652146717299967,True,0.9500151572565365,"{""n_estimators"": 617, ""learning_rate"": 0.22524912924501503}"
Telco Customer Churn,classification,adaboost,7043,19,1.5735172920394689,0.801277501774308,0.7153181430675037,0.7942691000469841,0.8425869952724172,0.8049129177688883,0.00907707963515408,0.7192301313849798,0.00989071617886039,0.7978400466208951,0.008749268339709881,0.8482155070550933,0.011825282147310538,True,0.8049129177688883,"{""n_estimators"": 581, ""learning_rate"": 0.4866274565666472}"
Breast Cancer,classification,adaboost,569,30,0.9234182080253959,0.9736842105263158,0.9642857142857143,0.9734654095556351,0.988095238095238,0.9771619313771154,0.008927576724706666,0.9722615408211542,0.009829272421917761,0.9770779026268908,0.008967744319169652,0.9955139753248172,0.004671458326016691,True,0.9771619313771154,"{""n_estimators"": 795, ""learning_rate"": 0.27436197067336077}"
Credit Card Fraud,classification,adaboost,10000,29,7.122849541949108,0.999,0.99949924887331,0.999124749498998,0.99916541478885,0.9993000000000001,0.0005099019513592702,0.8582331580202636,0.17392357466729347,0.9991728360534478,0.0006899057390742044,0.9945474616400218,0.010551485308534609,True,0.9993000000000001,"{""n_estimators"": 388, ""learning_rate"": 0.40565420834632476}"
IMDB Movie Reviews,classification,adaboost,10000,33624,42.16785345808603,0.814,0.8146925778019141,0.8133452306926999,0.9006669807046652,0.8003,0.007325298628724974,0.8009656168396375,0.007288489927749967,0.7996284742169684,0.007430454648277481,0.8835511096842719,0.005418626017269875,True,0.8003,"{""n_estimators"": 765, ""learning_rate"": 0.4676450700180151}"
MNIST,classification,adaboost,10000,151,78.00196512509137,0.7695,0.7661639134553966,0.7705508846656719,0.9499242909336629,0.7709999999999999,0.004289522117905439,0.7679282527188819,0.004662362719987468,0.7718588632970933,0.003876074023103429,0.9521633536615992,0.002053097398639355,True,0.7709999999999999,"{""n_estimators"": 790, ""learning_rate"": 0.464746719891871}"
HIGGS,classification,adaboost,10000,28,7.379087500041351,0.6585,0.6534935100800883,0.6562436749897727,0.7195018955085235,0.6807,0.011939849245279402,0.677080163691597,0.012686949741718667,0.6795249526640108,0.012465378067206573,0.747466144460345,0.013833012589022444,True,0.6807,"{""n_estimators"": 500, ""learning_rate"": 0.4888959456967403}"
Adult Income,classification,gbm,48842,14,36.633335707942024,0.8763435356740711,0.8005816039643419,0.8721327084248337,0.9286683855888198,0.8751485020601614,0.0023089758242251595,0.8013111977333974,0.004232257664708443,0.8712808674326189,0.0025240016280014353,0.928878152317418,0.0018124899421310247,True,0.8751485020601614,"{""n_estimators"": 766, ""learning_rate"": 0.01933471735215724, ""max_depth"": 6, ""subsample"": 0.7209101263105339}"
Heart Disease,classification,gbm,303,13,0.2301195419859141,0.7868852459016393,0.775974025974026,0.781880594141991,0.8993506493506493,0.8480874316939891,0.041454129619281126,0.8423881673881674,0.04596222615907387,0.8463416060404588,0.043280545472282425,0.9081850248516915,0.025845112664983613,True,0.8480874316939891,"{""n_estimators"": 789, ""learning_rate"": 0.004165820800018703, ""max_depth"": 2, ""subsample"": 0.7646890556691059}"
Mushroom,classification,gbm,8124,22,0.9305590828880668,0.9938461538461538,0.9936143039591315,0.9938445429307781,0.9995904660496355,0.9950763167866616,0.005876842653743631,0.9948914431673053,0.006098256136047697,0.9950733244784669,0.005881881484581494,0.9999192388300674,0.00010713131149858638,True,0.9950763167866616,"{""n_estimators"": 375, ""learning_rate"": 0.013018293003039177, ""max_depth"": 2, ""subsample"": 0.8970273608540014}"
Telco Customer Churn,classification,gbm,7043,19,1.2271318340208381,0.8019872249822569,0.7081169753804025,0.7926974237180888,0.8456457154666873,0.8051973111168461,0.008903318731582859,0.7161832974434401,0.011409536274485694,0.7971965698447486,0.00927712151120182,0.8492102009780801,0.010762543860667793,True,0.8051973111168461,"{""n_estimators"": 315, ""learning_rate"": 0.032484071414078906, ""max_depth"": 2, ""subsample"": 0.8518370746080064}"
Breast Cancer,classification,gbm,569,30,2.4571197498589754,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9976851851851852,0.9666356155876418,0.023777119195602964,0.9648387092581328,0.022968622291395596,0.9666873665060749,0.023647922871416302,0.9915852999131742,0.006355467023776047,True,0.9666356155876418,"{""n_estimators"": 749, ""learning_rate"": 0.03026705587598711, ""max_depth"": 6, ""subsample"": 0.8938054995707954}"
Credit Card Fraud,classification,gbm,10000,29,38.39537970907986,0.9985,0.8328325822066434,0.9986069550284425,0.9993323318310801,0.9993000000000001,0.0006782329983125045,0.8249498997995992,0.21790473829171325,0.9990657682526065,0.0009715327263023613,0.9415832332332835,0.07280195590467946,True,0.9993000000000001,"{""n_estimators"": 639, ""learning_rate"": 0.002172150598518677, ""max_depth"": 6, ""subsample"": 0.6636594938157806}"
IMDB Movie Reviews,classification,gbm,10000,33624,147.1745473339688,0.863,0.8633024595976113,0.8629284628219543,0.9360972677694,0.8474,0.006126989472816149,0.8476763688406297,0.006111955780755392,0.8473281124387697,0.0061399516318853715,0.9230177851520033,0.0030378241179711495,True,0.8474,"{""n_estimators"": 784, ""learning_rate"": 0.05535230755946019, ""max_depth"": 5, ""subsample"": 0.8660547696797101}"
MNIST,classification,gbm,10000,151,1520.2624469159637,0.9245,0.9235038809279426,0.9244899264901788,0.9954957941178323,0.9250999999999999,0.00274590604354921,0.9241365224569102,0.0028298508699931054,0.9251325463030694,0.002784708037503962,0.9951542844589598,0.0003222698500111933,True,0.9250999999999999,"{""n_estimators"": 683, ""learning_rate"": 0.09711100433249281, ""max_depth"": 4, ""subsample"": 0.7175263055499997}"
HIGGS,classification,gbm,10000,28,42.223121917108074,0.689,0.685983279355276,0.6882580297443127,0.7603986844417665,0.7058,0.00719444229944197,0.703259270417514,0.00763895856867384,0.7052535132907632,0.00738771926094115,0.7799848359318119,0.00792336749688713,True,0.7058,"{""n_estimators"": 663, ""learning_rate"": 0.011934613534062794, ""max_depth"": 6, ""subsample"": 0.8916556353664828}"
Adult Income,classification,xgboost,48842,14,0.6588721668813378,0.8754222540689938,0.8007088942249303,0.8714063779137987,0.9309006993222736,0.8748618790204418,0.0022862031923744927,0.8010056131523452,0.003959145250579586,0.8710004798159652,0.002451969377085289,0.9300012010979042,0.0018543953007245184,True,0.8748618790204418,"{""n_estimators"": 977, ""learning_rate"": 0.04444992353623688, ""max_depth"": 4, ""subsample"": 0.8094215609356503, ""colsample_bytree"": 0.9327710871099467, ""reg_lambda"": 0.01769000447967971, ""reg_alpha"": 0.01464849636615226}"
Heart Disease,classification,xgboost,303,13,0.0704409999307245,0.819672131147541,0.808982683982684,0.8154374258124539,0.9101731601731602,0.8348633879781422,0.04715995793231509,0.8297258297258298,0.051263727767844665,0.8333280284762512,0.04863146049971093,0.907399390732724,0.026398915818390774,True,0.8348633879781422,"{""n_estimators"": 201, ""learning_rate"": 0.021760821970025598, ""max_depth"": 6, ""subsample"": 0.7652721626598057, ""colsample_bytree"": 0.6178540497034146, ""reg_lambda"": 3.2859936276278794, ""reg_alpha"": 2.5268254645351904}"
Mushroom,classification,xgboost,8124,22,0.17615158297121525,1.0,1.0,1.0,1.0,0.9559117847669573,0.08634211968493789,0.957378781873431,0.08333993922578943,0.9541530378051686,0.08985888032019115,0.9992850450187774,0.0014299099624451082,True,0.9559117847669573,"{""n_estimators"": 447, ""learning_rate"": 0.04152912118658341, ""max_depth"": 3, ""subsample"": 0.7663912056315334, ""colsample_bytree"": 0.7287281161547108, ""reg_lambda"": 0.003249223933251309, ""reg_alpha"": 0.01145982357852245}"
Telco Customer Churn,classification,xgboost,7043,19,0.2837301669642329,0.8055358410220014,0.7182166937921414,0.7979828032047752,0.8477757110749438,0.8071851409768372,0.009969953814891856,0.7200967508788685,0.01194736789826,0.7996484756222388,0.010083345120758858,0.8495842073964903,0.010902278228082082,True,0.8071851409768372,"{""n_estimators"": 735, ""learning_rate"": 0.013749828070548913, ""max_depth"": 3, ""subsample"": 0.8169715413677828, ""colsample_bytree"": 0.9868142889344568, ""reg_lambda"": 0.6843803753123967, ""reg_alpha"": 9.811493436580351}"
Breast Cancer,classification,xgboost,569,30,0.13519741618074477,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9927248677248677,0.9753920198726906,0.015097499550736753,0.97377059514711,0.016238389945759175,0.9753889227696609,0.015095735042077348,0.9937499675052901,0.0047489973172692235,True,0.9753920198726906,"{""n_estimators"": 381, ""learning_rate"": 0.039619522669648764, ""max_depth"": 8, ""subsample"": 0.8143087979412847, ""colsample_bytree"": 0.7613010371573854, ""reg_lambda"": 0.2933445520803145, ""reg_alpha"": 0.07163869760932229}"
Credit Card Fraud,classification,xgboost,10000,29,0.10380629100836813,0.999,0.99949924887331,0.999124749498998,0.99949924887331,0.9995,0.0005477225575051464,0.8916165664662659,0.1480999643522732,0.9994056681838128,0.0007154909423272821,0.989312816502643,0.019806963063409035,True,0.9995,"{""n_estimators"": 506, ""learning_rate"": 0.16552478001528448, ""max_depth"": 3, ""subsample"": 0.8012438525537451, ""colsample_bytree"": 0.9426897745441077, ""reg_lambda"": 0.0024141839311697423, ""reg_alpha"": 0.0202447615720851}"
IMDB Movie Reviews,classification,xgboost,10000,33624,31.07771504111588,0.869,0.8691381657180519,0.8689944979504816,0.9415859318977595,0.8536999999999999,0.0034438350715445365,0.8538242127297403,0.0034801111572344357,0.8536870214059524,0.0034323915125346687,0.9279620834120929,0.002384024559747115,True,0.8536999999999999,"{""n_estimators"": 871, ""learning_rate"": 0.06976270185003382, ""max_depth"": 5, ""subsample"": 0.8157010686698729, ""colsample_bytree"": 0.6721123702317897, ""reg_lambda"": 0.0021623984014246013, ""reg_alpha"": 1.023867489510591}"
MNIST,classification,xgboost,10000,151,11.525066625094041,0.9395,0.9386618969112144,0.93941078147786,0.9969960252838673,0.9391,0.0032924155266308287,0.9384576070908821,0.0033055548038882225,0.9390659919757207,0.00328558380123274,0.9966929043874078,0.0004710501119427073,True,0.9391,"{""n_estimators"": 643, ""learning_rate"": 0.07270529296158562, ""max_depth"": 4, ""subsample"": 0.6178333163469347, ""colsample_bytree"": 0.7172923880560962, ""reg_lambda"": 0.0013122032740918933, ""reg_alpha"": 0.00123872252332372}"
HIGGS,classification,xgboost,10000,28,0.4052294590510428,0.6855,0.6819788606864001,0.684452061261373,0.7623228138886797,0.7074999999999999,0.009027735042633921,0.7049599558133112,0.009385753003011517,0.7069637735146788,0.009183765633821837,0.7809001029349,0.008899238983995542,True,0.7074999999999999,"{""n_estimators"": 419, ""learning_rate"": 0.017252983754217723, ""max_depth"": 6, ""subsample"": 0.7447044008722552, ""colsample_bytree"": 0.6795387375116363, ""reg_lambda"": 0.0018663393080360642, ""reg_alpha"": 0.0019111364585067288}"
Adult Income,classification,lightgbm,48842,14,10.041204917011783,0.8757293479373528,0.7987121667616954,0.8713294129589351,0.9304235407148675,0.8748618999796193,0.002759541392703447,0.8001258682002461,0.004116472568620179,0.8708603927764408,0.0028809581918433844,0.9301510686565196,0.001971649475116092,True,0.8748618999796193,"{""n_estimators"": 915, ""learning_rate"": 0.007907752347245566, ""num_leaves"": 58, ""feature_fraction"": 0.5099836843181962, ""bagging_fraction"": 0.805337155708543, ""bagging_freq"": 4}"
Heart Disease,classification,lightgbm,303,13,0.2769663338549435,0.8360655737704918,0.8241341991341992,0.8312656919214296,0.8928571428571428,0.8415300546448087,0.03721628417852024,0.8364598364598365,0.04008445364906439,0.8402806453082997,0.038254384912342114,0.910333493666827,0.02751544182027587,True,0.8415300546448087,"{""n_estimators"": 218, ""learning_rate"": 0.012412070100104313, ""num_leaves"": 104, ""feature_fraction"": 0.8253632749018966, ""bagging_fraction"": 0.84423050852747, ""bagging_freq"": 6}"
Mushroom,classification,lightgbm,8124,22,1.0273954581934959,1.0,1.0,1.0,1.0,0.9816502463054186,0.03669950738916254,0.9822389571497776,0.035522085700444794,0.9815717155547399,0.03685656889052034,0.9992358425094494,0.0015283149811010867,True,0.9816502463054186,"{""n_estimators"": 346, ""learning_rate"": 0.09650279210085724, ""num_leaves"": 178, ""feature_fraction"": 0.8617045653911397, ""bagging_fraction"": 0.8613453248319258, ""bagging_freq"": 6}"
Telco Customer Churn,classification,lightgbm,7043,19,11.439906584098935,0.7984386089425124,0.7082629362680513,0.790365565150762,0.8352127412229714,0.7959696996580424,0.011956626361313378,0.6962248689275057,0.011170915991565614,0.7851354249375422,0.011047177374375548,0.8340885048284967,0.010465562813387284,True,0.7959696996580424,"{""n_estimators"": 505, ""learning_rate"": 0.005243791080537704, ""num_leaves"": 245, ""feature_fraction"": 0.8943777755297067, ""bagging_fraction"": 0.909162220050784, ""bagging_freq"": 3}"
Breast Cancer,classification,lightgbm,569,30,0.47794733312912285,0.9736842105263158,0.9642857142857143,0.9734654095556351,0.9923941798941799,0.9806707033069397,0.01022460216319056,0.9770038837677226,0.011611111257044409,0.980614298992515,0.01027755138776928,0.9951247320269594,0.00385406040061421,True,0.9806707033069397,"{""n_estimators"": 531, ""learning_rate"": 0.09700752131911139, ""num_leaves"": 87, ""feature_fraction"": 0.6700138281704585, ""bagging_fraction"": 0.8423325716740913, ""bagging_freq"": 6}"
Credit Card Fraud,classification,lightgbm,10000,29,1.519065042026341,0.9995,0.999749624436655,0.9995356516761474,0.99966616591554,0.9995,0.0005477225575051464,0.8916165664662659,0.1480999643522732,0.9994056681838128,0.0007154909423272821,0.9715265199067806,0.0562189178023096,True,0.9995,"{""n_estimators"": 886, ""learning_rate"": 0.040857826525463214, ""num_leaves"": 159, ""feature_fraction"": 0.9505566987970431, ""bagging_fraction"": 0.6883453772601545, ""bagging_freq"": 3}"
IMDB Movie Reviews,classification,lightgbm,10000,33624,36.49968650005758,0.872,0.872105524768497,0.872,0.9446463022025664,0.8622000000000002,0.006516133823057957,0.8623197406886233,0.006503972518547706,0.8621946208839727,0.006517405980948888,0.9336621731229477,0.0031043982738611048,True,0.8622000000000002,"{""n_estimators"": 991, ""learning_rate"": 0.052627794913725774, ""num_leaves"": 79, ""feature_fraction"": 0.574900517760842, ""bagging_fraction"": 0.9170949527082739, ""bagging_freq"": 1}"
MNIST,classification,lightgbm,10000,151,40.89648624998517,0.944,0.9435228591645496,0.9439025732227484,0.9975263027727316,0.9436,0.0028178005607210716,0.9429873454596311,0.0030732325166346855,0.9435745693215105,0.0027628398314411347,0.9972168790608231,0.0003604579684932864,True,0.9436,"{""n_estimators"": 932, ""learning_rate"": 0.028839925350577295, ""num_leaves"": 42, ""feature_fraction"": 0.9010625137997438, ""bagging_fraction"": 0.7730548307503636, ""bagging_freq"": 7}"
HIGGS,classification,lightgbm,10000,28,8.23319458286278,0.6965,0.6932213602470438,0.6956078436863806,0.7670297004845472,0.7091000000000001,0.008363013810822025,0.7064753583891944,0.009098841797579695,0.7085130628708878,0.008716412195184103,0.7834044839446663,0.008042023769072211,True,0.7091000000000001,"{""n_estimators"": 871, ""learning_rate"": 0.008912158138653078, ""num_leaves"": 83, ""feature_fraction"": 0.9653121183287802, ""bagging_fraction"": 0.7554108226533702, ""bagging_freq"": 3}"
