dataset,model,fold,rmse,mae,r2
California Housing,adaboost,0,1.3925287618815374,1.256007809302783,-0.8050697464387067
California Housing,adaboost,1,1.1571385590019623,1.0336616174380044,-0.14386794519539103
California Housing,adaboost,2,1.1661217230739258,1.0170445639173817,0.05470216200617661
California Housing,adaboost,3,1.2999642844917043,1.181680250433611,-0.440444609227318
California Housing,adaboost,4,1.1896048144266245,1.004277869054664,0.028822477327588802
Ames House Prices,adaboost,0,38941.66616654495,30910.498798223503,0.7991708887055609
Ames House Prices,adaboost,1,38961.122053295134,31678.86165094045,0.7341243340139589
Ames House Prices,adaboost,2,39177.45824415202,28962.475302964158,0.7360712817827197
Ames House Prices,adaboost,3,37698.62202475539,25893.49400880271,0.7916369801704174
Ames House Prices,adaboost,4,38740.967252536924,29582.669673166394,0.7394495068774324
Wine Quality,adaboost,0,0.8289786718582806,0.6571571533242654,0.21210002254442084
Wine Quality,adaboost,1,0.8345271771765193,0.6568895590054687,0.16792716085193182
Wine Quality,adaboost,2,0.7924628081263998,0.6231742354529365,0.2058412744201883
Wine Quality,adaboost,3,0.7760886716856744,0.5955350783878705,0.22994969196677717
Wine Quality,adaboost,4,0.6927587061761223,0.536228475536839,0.2009612491476579
Superconductivity,adaboost,0,19.318129280682236,15.41268770538138,0.6733283079380274
Superconductivity,adaboost,1,18.972027911586313,14.897021486401373,0.6862731919191951
Superconductivity,adaboost,2,21.31928461726709,17.86030880853238,0.6198634318190439
Superconductivity,adaboost,3,23.94989574250972,21.51755573360033,0.5195567100462772
Superconductivity,adaboost,4,18.600220298475385,14.714249605201093,0.7014553210424281
California Housing,gbm,0,0.6535107876747898,0.5232938685165017,0.6024505460715713
California Housing,gbm,1,0.5937967544826498,0.42366849846656646,0.6987820853564464
California Housing,gbm,2,0.6368938238731376,0.46153739171965896,0.7180221673334415
California Housing,gbm,3,0.6405650981260418,0.4649285996730092,0.6502479526451039
California Housing,gbm,4,0.6832211938836654,0.484812947007292,0.6796565444968495
Ames House Prices,gbm,0,26180.513315195218,17387.693109216572,0.9092275782181471
Ames House Prices,gbm,1,21972.266904598655,15263.65230595877,0.9154399149633147
Ames House Prices,gbm,2,22703.857540794437,14762.949117110607,0.9113633279027236
Ames House Prices,gbm,3,32738.47462540555,17615.802488636004,0.8428600638726496
Ames House Prices,gbm,4,22009.127644810298,15229.25638566221,0.9159076210839916
Wine Quality,gbm,0,0.7876620749161144,0.6182034006842457,0.28868127031442725
Wine Quality,gbm,1,0.7573695128457695,0.5983341254275183,0.314675883305338
Wine Quality,gbm,2,0.7166354610587299,0.5604087320609936,0.350549399519389
Wine Quality,gbm,3,0.7471542623344983,0.5829580974420627,0.28629791229180745
Wine Quality,gbm,4,0.6483777435346441,0.5219640505214694,0.3000612232296369
Superconductivity,gbm,0,12.423727405880207,8.68467554093049,0.8648907157201454
Superconductivity,gbm,1,12.681474161885399,8.603157815224236,0.8598272468525564
Superconductivity,gbm,2,13.570867412141023,9.00367163693034,0.8459684770522043
Superconductivity,gbm,3,13.267658870222519,9.03400070286044,0.8525572334484184
Superconductivity,gbm,4,12.335724412672228,8.549603296940703,0.8686885866147205
California Housing,xgboost,0,0.6271497178621486,0.46828888262732893,0.6338760815779534
California Housing,xgboost,1,0.583208577313279,0.40774250991082467,0.709428534607869
California Housing,xgboost,2,0.5960433563180848,0.4377165582162188,0.7530343248914015
California Housing,xgboost,3,0.5867716022653441,0.4109880820339306,0.7065244696657911
California Housing,xgboost,4,0.7276908541377863,0.5066598844257135,0.6365982375314049
Ames House Prices,xgboost,0,23329.15142431991,15021.11059486988,0.9279232008779342
Ames House Prices,xgboost,1,20555.944377611868,13697.517598122868,0.925989975675686
Ames House Prices,xgboost,2,22768.317251169618,13383.237541328925,0.9108593073906168
Ames House Prices,xgboost,3,31318.271994766223,16049.532616520904,0.8561978847706778
Ames House Prices,xgboost,4,19782.737779512212,13445.622516931528,0.9320602774291932
Wine Quality,xgboost,0,0.8087554946005466,0.6318915240618648,0.25007322037016144
Wine Quality,xgboost,1,0.7880531569199299,0.6126487890068366,0.25802135971971984
Wine Quality,xgboost,2,0.7282181736889469,0.5595153908340298,0.32938608578426243
Wine Quality,xgboost,3,0.7489682714775404,0.5874301394841522,0.2828281234486425
Wine Quality,xgboost,4,0.6654284528351977,0.5349359207913142,0.26276390442236075
Superconductivity,xgboost,0,10.450170690198526,6.336367687364254,0.9044065503572676
Superconductivity,xgboost,1,10.24882242935082,6.133682844080117,0.9084471099235814
Superconductivity,xgboost,2,10.847301582529388,6.2737994378724915,0.901590318969197
Superconductivity,xgboost,3,10.902222040334866,6.411460006291206,0.9004445766416207
Superconductivity,xgboost,4,9.674228973513845,5.899544918659451,0.9192382197641711
California Housing,lightgbm,0,0.6261955994749767,0.4506256343196276,0.6349892442828903
California Housing,lightgbm,1,0.5761219376137003,0.39981672210159686,0.7164471715580252
California Housing,lightgbm,2,0.5914113994868495,0.43257333640257484,0.7568578369806087
California Housing,lightgbm,3,0.6197867532641153,0.41986583812811257,0.6725701259302255
California Housing,lightgbm,4,0.7142540546576822,0.4912414758352943,0.6498947486234558
Ames House Prices,lightgbm,0,23054.624970163975,15390.378814572023,0.929609551637893
Ames House Prices,lightgbm,1,20633.76206507807,13902.823817847087,0.9254285623761493
Ames House Prices,lightgbm,2,24197.97100525072,13829.724107939168,0.8993133156086007
Ames House Prices,lightgbm,3,31102.652264915956,16050.243044950175,0.8581711632688112
Ames House Prices,lightgbm,4,20640.110016282197,13993.048544981979,0.9260437305803728
Wine Quality,lightgbm,0,0.807238830958644,0.6289713724298279,0.252883266705749
Wine Quality,lightgbm,1,0.8008933291127732,0.6256025420627092,0.23364546891872773
Wine Quality,lightgbm,2,0.722913845272277,0.5654638435523603,0.33911998542381616
Wine Quality,lightgbm,3,0.7698526968804913,0.6010570204499213,0.2422748864580868
Wine Quality,lightgbm,4,0.6825532943333773,0.5482221720869005,0.2243300068083478
Superconductivity,lightgbm,0,10.274952285423037,6.065088708418132,0.9075853137583296
Superconductivity,lightgbm,1,10.121118748184392,5.89763510032447,0.9107144533822878
Superconductivity,lightgbm,2,10.835893394637417,6.122566380378051,0.9017972065088538
Superconductivity,lightgbm,3,10.547465319821246,6.154557160403672,0.9068182011747183
Superconductivity,lightgbm,4,9.69965401573859,5.733947707751731,0.9188131585148137
