dataset,task_baseline,model,n_samples_baseline,n_features_baseline,training_time_baseline,test_rmse_baseline,test_mae_baseline,test_r2_baseline,cv_rmse_mean_baseline,cv_rmse_std_baseline,cv_mae_mean_baseline,cv_mae_std_baseline,cv_r2_mean_baseline,cv_r2_std_baseline,tuned_baseline,task_tuned,n_samples_tuned,n_features_tuned,training_time_tuned,test_rmse_tuned,test_mae_tuned,test_r2_tuned,cv_rmse_mean_tuned,cv_rmse_std_tuned,cv_mae_mean_tuned,cv_mae_std_tuned,cv_r2_mean_tuned,cv_r2_std_tuned,tuned_tuned,optuna_metric,best_params,test_rmse_delta,test_mae_delta,test_r2_delta
California Housing,regression,adaboost,20640,8,4.450117792002857,1.2698181562459983,1.123675775645952,-0.23048466296112546,1.2410716285751509,0.09134406342123536,1.0985344220292887,0.10143418754022221,-0.26117153230553003,0.32422120577667,False,regression,20640,8,4.235432291869074,0.7501463804687398,0.5802689114482107,0.57057712403211,0.7773380922568377,0.054755804023528774,0.6075915469147047,0.07349073542177438,0.5104487585758131,0.10080481762717491,True,0.7773380922568377,"{""n_estimators"": 199, ""learning_rate"": 0.02398761842131442, ""loss"": ""exponential""}",-0.5196717757772584,-0.5434068641977412,0.8010617869932355
Ames House Prices,regression,adaboost,2930,80,3.3802122501656413,39005.42396996021,28724.902844729837,0.8102383531489423,38703.96714825688,521.3273657573121,29405.59988681944,1999.7520139363899,0.7600905983100179,0.028981623175183924,False,regression,2930,80,5.190743874991313,34091.84782511148,23373.08637494449,0.8550362157923556,33776.78467247823,2178.4265342911003,23699.712934607993,258.34135750670094,0.8175519695765754,0.02504050072177673,True,33776.78467247823,"{""n_estimators"": 655, ""learning_rate"": 0.040913850600176986, ""loss"": ""exponential""}",-4913.576144848732,-5351.816469785346,0.04479786264341323
Wine Quality,regression,adaboost,4898,11,1.110229582991451,0.771388550147333,0.6156240308093437,0.23168375055177504,0.7849632070045993,0.05105020989698316,0.613796900341476,0.045111811870048674,0.20335587978619518,0.020252389718633385,False,regression,4898,11,1.4740240420214832,0.7303731158822085,0.583017162217659,0.3112157627241747,0.7523036767768895,0.05347964934043537,0.5962247259528101,0.04442497143241475,0.26885480473126533,0.020122821096336868,True,0.7523036767768895,"{""n_estimators"": 381, ""learning_rate"": 0.03174600216503337, ""loss"": ""exponential""}",-0.04101543426512444,-0.03260686859168471,0.07953201217239969
Superconductivity,regression,adaboost,10000,81,14.002710416913033,21.607696317177908,18.434678955726923,0.5911635270409469,20.43191157010415,1.9945178746416738,16.880364667823308,2.5785116561817887,0.6400953925529944,0.06624313226156739,False,regression,10000,81,45.416884042089805,17.384939645542648,12.55637907743107,0.7353456281080946,17.391945203738164,0.33735544801496475,12.948309448577822,0.16084029476853007,0.7409354605135106,0.00536421945718572,True,17.391945203738164,"{""n_estimators"": 702, ""learning_rate"": 0.013987254315465108, ""loss"": ""exponential""}",-4.22275667163526,-5.878299878295854,0.14418210106714768
California Housing,regression,gbm,20640,8,2.189300874946639,0.5422167577867202,0.37165044848436773,0.7756433164710084,0.6415975316080569,0.028922517215790994,0.47164826107660573,0.03252696995460045,0.6698318591806824,0.0404492684446822,False,regression,20640,8,17.870031624799594,0.48273852982737736,0.3225491686725833,0.8221650705623773,0.616994088195027,0.03413128833670902,0.44669791964151956,0.026284204480203712,0.694289108070386,0.04175035531738731,True,0.616994088195027,"{""n_estimators"": 789, ""learning_rate"": 0.015429557842094923, ""max_depth"": 5, ""subsample"": 0.6148646428940959}",-0.05947822795934282,-0.049101279811784415,0.04652175409136894
Ames House Prices,regression,gbm,2930,80,0.8053020830266178,25668.765297896047,15582.27211848956,0.917819573066915,25120.848006160835,4113.133485493187,16051.870681316834,1199.1334823252864,0.8989597012081653,0.028161242856732393,False,regression,2930,80,3.864769290899858,24174.34345762229,13923.50438533538,0.927110023333416,23487.658256869658,4665.597060907964,14188.547357241801,946.1821000326563,0.9105191913317585,0.033222445493972054,True,23487.658256869658,"{""n_estimators"": 659, ""learning_rate"": 0.05914300008707385, ""max_depth"": 3, ""subsample"": 0.7419976962201738}",-1494.421840273757,-1658.76773315418,0.009290450266500994
Wine Quality,regression,gbm,4898,11,0.4294012081809342,0.6802488628793304,0.5365474130501017,0.4025118576441419,0.7314398109379512,0.04732591722769029,0.576373681227258,0.033137979997683996,0.30805313773211973,0.02350413922457986,False,regression,4898,11,1.8228325829841197,0.6604478239931789,0.5182172635540594,0.436789595619385,0.7232478768022516,0.05120434239519287,0.5704174062293231,0.03614820427004767,0.32399984196148185,0.02386716142856878,True,0.7232478768022516,"{""n_estimators"": 458, ""learning_rate"": 0.00889698105083564, ""max_depth"": 5, ""subsample"": 0.6089117808674934}",-0.01980103888615148,-0.01833014949604228,0.03427773797524314
Superconductivity,regression,gbm,10000,81,8.6529889581725,13.416558589870755,8.672713353092188,0.8423786796686556,12.855890452560278,0.4834260921664849,8.775021798577242,0.20389408886351867,0.8583864519376089,0.00823044597448229,False,regression,10000,81,65.84800533298403,11.011644091110414,6.275823657197444,0.8938213913488652,10.52785129595159,0.4235761845272818,6.246866116230071,0.1496827969290237,0.9049877555959617,0.006406231512833175,True,10.52785129595159,"{""n_estimators"": 543, ""learning_rate"": 0.04943940834430619, ""max_depth"": 6, ""subsample"": 0.7246339137038118}",-2.4049144987603412,-2.3968896958947443,0.05144271168020953
California Housing,regression,xgboost,20640,8,0.443777667125687,0.4453019407693163,0.29169997662019126,0.848677915257334,0.6241728215793285,0.05402412851050436,0.4462791834428034,0.03724006311947794,0.687892329654884,0.04605058794768633,False,regression,20640,8,0.18763724993914366,0.47850274278719873,0.32237155663053196,0.8252722022995936,0.6142543203067767,0.03695444474383464,0.4398612162173339,0.030709993789092574,0.6974951345250228,0.03849661765549372,True,0.6142543203067767,"{""n_estimators"": 220, ""learning_rate"": 0.04864045605724153, ""max_depth"": 5, ""subsample"": 0.6114306317082937, ""colsample_bytree"": 0.9759148743790539, ""reg_lambda"": 0.07210874520963405, ""reg_alpha"": 2.05365826381816}",0.03320080201788245,0.030671580010340704,-0.02340571295774041
Ames House Prices,regression,xgboost,2930,80,0.7003331668674946,23168.11907530626,13817.107628519625,0.9330516329789129,23550.884565475968,4102.742536242222,14319.40417355482,1049.988722827254,0.9106061292288216,0.02813234914188096,False,regression,2930,80,0.5364113340619951,23559.469046520608,14145.458126133213,0.9307707809747863,23049.100036729553,4307.843446014496,14040.188116600897,935.7137942460242,0.9142839650379923,0.028727161168797068,True,23049.100036729553,"{""n_estimators"": 852, ""learning_rate"": 0.07799271104684974, ""max_depth"": 4, ""subsample"": 0.7935741086284036, ""colsample_bytree"": 0.6663462559824944, ""reg_lambda"": 0.18309553687173977, ""reg_alpha"": 0.9286212338751318}",391.34997121434935,328.35049761358823,-0.0022808520041266434
Wine Quality,regression,xgboost,4898,11,0.401718792039901,0.5983617242700372,0.4383848465218836,0.5377028119641947,0.7478847099044323,0.050011473978324145,0.5852843528356395,0.03499899766845211,0.2766145387490294,0.02851467260996191,False,regression,4898,11,0.2268467079848051,0.6507880410065572,0.5072258443248515,0.45314426734167457,0.7216266296782898,0.05262270644540959,0.5678099797480286,0.037729082343384845,0.3269676115296948,0.029850828556838304,True,0.7216266296782898,"{""n_estimators"": 296, ""learning_rate"": 0.016854884658916672, ""max_depth"": 6, ""subsample"": 0.7856370769638896, ""colsample_bytree"": 0.8512128636487164, ""reg_lambda"": 0.025125233360161495, ""reg_alpha"": 2.9295829430216958}",0.052426316736519984,0.06884099780296793,-0.0845585446225201
Superconductivity,regression,xgboost,10000,81,1.3360252499114722,10.918963741179391,6.273313466455997,0.8956011906491628,10.42454914318549,0.4475282606238078,6.210970978853505,0.18045899624883485,0.9068253551311676,0.006792346447112839,False,regression,10000,81,6.638029124820605,10.743662707415194,6.099483499825425,0.8989264711521211,10.291184740981636,0.4168254010787907,6.031166134995887,0.1773030779272906,0.9092135255126802,0.006115375973868812,True,10.291184740981636,"{""n_estimators"": 930, ""learning_rate"": 0.009101891464617401, ""max_depth"": 8, ""subsample"": 0.7597262099795491, ""colsample_bytree"": 0.8504684811415315, ""reg_lambda"": 0.001047165226787571, ""reg_alpha"": 0.0016738178186202865}",-0.1753010337641978,-0.17382996663057249,0.0033252805029583277
California Housing,regression,lightgbm,20640,8,2.5888860418926924,0.4335663052730814,0.2834106316377444,0.8565487995049486,0.6255539488994648,0.047980451107977766,0.4388246013574412,0.03100619541240697,0.6861518254750412,0.04479686586337057,False,regression,20640,8,2.417769707972184,0.4726606445114961,0.31402983862564177,0.8295127028434076,0.6183607152931717,0.04149520851049476,0.4401279482014976,0.03309745752302141,0.6933042126051792,0.0418490629055406,True,0.6183607152931717,"{""n_estimators"": 598, ""learning_rate"": 0.010276085517881655, ""num_leaves"": 32, ""feature_fraction"": 0.8131772536212908, ""bagging_fraction"": 0.720869436642421, ""bagging_freq"": 4}",0.03909433923841471,0.030619206987897385,-0.027036096661540943
Ames House Prices,regression,lightgbm,2930,80,3.1355224170256406,26839.52863553448,15028.582833043432,0.9101520435443016,23925.824064338187,3846.3880161083944,14633.243666058086,913.2521558568191,0.9077132646943655,0.02703428967725597,False,regression,2930,80,9.35354870883748,26393.962654521903,14691.191442843787,0.9131104334377927,23647.610205079996,4198.1256373908545,14285.43959522582,959.3492920019504,0.9096379636424572,0.0296292635865162,True,23647.610205079996,"{""n_estimators"": 973, ""learning_rate"": 0.011650725217045906, ""num_leaves"": 150, ""feature_fraction"": 0.6458606442918221, ""bagging_fraction"": 0.8269273763669378, ""bagging_freq"": 3}",-445.56598101257623,-337.3913901996457,0.0029583898934911756
Wine Quality,regression,lightgbm,4898,11,2.457109165843576,0.5845394149831673,0.4184498638883424,0.5588144872934584,0.7566903993115125,0.04758036351184949,0.5938633901163438,0.03219114019113207,0.2584507228629455,0.0414239256007669,False,regression,4898,11,3.1162036249879748,0.643522414037499,0.4983022150310264,0.4652866858569574,0.7226927907257652,0.053116351767682535,0.5702578713858856,0.039336091497326385,0.3252507770332554,0.025787343314971806,True,0.7226927907257652,"{""n_estimators"": 335, ""learning_rate"": 0.006983138264792613, ""num_leaves"": 152, ""feature_fraction"": 0.936626987483284, ""bagging_fraction"": 0.6151472447056732, ""bagging_freq"": 2}",0.058982999054331686,0.07985235114268402,-0.09352780143650097
Superconductivity,regression,lightgbm,10000,81,3.1255103750154376,10.796723871941035,6.048898526359704,0.89792563503727,10.295816752760937,0.38506480187583464,5.994759011455211,0.15765280110804944,0.9091456666678006,0.005617350868493598,False,regression,10000,81,21.981107458937913,10.814365703676652,5.910982815800994,0.8975917837639452,10.14277450529531,0.41388432364267264,5.771364708989003,0.1737669147316294,0.9118060829074703,0.006134331254243932,True,10.14277450529531,"{""n_estimators"": 956, ""learning_rate"": 0.009259218660390561, ""num_leaves"": 205, ""feature_fraction"": 0.6440521620357689, ""bagging_fraction"": 0.9071853691351169, ""bagging_freq"": 5}",0.01764183173561662,-0.1379157105587101,-0.00033385127332474784
